"MarketID","MarketName","Adm0Code","Adm1Code","Adm2Code","MarketLatitude","MarketLongitude","MarketCreateDate"
1921,"Mangochi turn off",152,1890,1011372,-15.0457201004028,35.1902008056641,2020-04-22 22:02:24
2111,"Area 23",152,1888,1011366,-14.0310001373291,33.4859008789062,2020-04-22 22:02:24
2112,"Kambilonje",152,1888,1011370,-14.9999599456787,34.6736907958984,2020-04-22 22:02:24
2113,"Khuwi",152,1888,1011363,-13.4329395294189,33.8300018310547,2020-04-22 22:02:24
2114,"Nsikawanjala",152,1888,1011369,-14.3885698318481,34.335620880127,2020-04-22 22:02:24
2115,"Nsungwi",152,1888,1011364,-13.5299997329712,33.4609985351562,2020-04-22 22:02:24
2116,"Waliranji",152,1888,1011368,-13.97802734375,33.2755088806152,2020-04-22 22:02:24
2117,"Kameme",152,1889,1011354,-9.57032203674316,33.0915184020996,2020-04-22 22:02:24
2118,"Uliwa",152,1889,1011355,-10.4532804489136,34.2089614868164,2020-04-22 22:02:24
2119,"Chikweo",152,1890,1011372,-14.7659997940063,35.670768737793,2020-04-22 22:02:24
2120,"Chilinga",152,1890,1011379,-15.7769994735718,35.7664909362793,2020-04-22 22:02:24
2121,"Chinakanaka",152,1890,1011378,-16.0423221588135,35.353630065918,2020-04-22 22:02:24
2122,"Chinamwali",152,1890,1011373,-15.3813123703003,35.3670082092285,2020-04-22 22:02:24
2123,"Chitakale",152,1890,1011378,-16.0097408294678,35.4911804199219,2020-04-22 22:02:24
2124,"Dyelatu",152,1890,1011380,-16.0426406860352,34.8013114929199,2020-04-22 22:02:24
2125,"Kamsonga",152,1888,1011363,-13.2803602218628,33.7965202331543,2020-04-22 22:02:24
2126,"Limbuli",152,1890,1011378,-16.0741004943848,35.713508605957,2020-04-22 22:02:24
2127,"Mangamba",152,1890,1011372,-14.7913665771484,35.4364814758301,2020-04-22 22:02:24
2128,"Marka",152,1890,1011381,-17.1200695037842,35.2265434265137,2020-04-22 22:02:24
2129,"Mpita",152,1890,1011372,-14.7799997329712,35.4000015258789,2020-04-22 22:02:24
2130,"Mulanje",152,1890,1011378,-16.0246696472168,35.5042304992676,2020-04-22 22:02:24
2131,"Nayuchi",152,1890,1011372,-14.9755554199219,35.8675003051758,2020-04-22 22:02:24
2132,"Nsanama",152,1890,1011372,-14.9941663742065,35.4947204589844,2020-04-22 22:02:24
2133,"Nselema",152,1890,1011372,-14.7166996002197,35.5499992370605,2020-04-22 22:02:24
2134,"Songani",152,1890,1011373,-15.2806348800659,35.2889785766602,2020-04-22 22:02:24
2135,"Tomali",152,1890,1011380,-16.1499996185303,34.7832984924316,2020-04-22 22:02:24
2191,"Mbonechela",152,1890,1011372,-14.8891696929932,35.4786109924316,2020-04-22 22:02:24
2192,"Nkhate",152,1890,1011380,-16.1454601287842,34.9583511352539,2020-04-22 22:02:24
2193,"Nsanje",152,1890,1011381,-16.9166698455811,35.2666702270508,2020-04-22 22:02:24
2194,"Ntowe",152,1890,1011381,-17.0855903625488,35.2152900695801,2020-04-22 22:02:24
2195,"Nyungwe",152,1889,1011355,-10.2859897613525,34.1098289489746,2020-04-22 22:02:24
2223,"Kamwendo",152,1888,1011366,-13.8166999816895,34.0167007446289,2020-04-22 22:02:24
2224,"Golomoti",152,1888,1011370,-14.4258260726929,34.5931587219238,2020-04-22 22:02:24
2225,"Kamuzu Road",152,1888,1011365,-13.7709398269653,34.4400634765625,2020-04-22 22:02:24
2226,"Thavite",152,1888,1011365,-13.4977779388428,34.2616653442383,2020-04-22 22:02:24
2227,"Euthin",152,1889,1011358,-11.4509916305542,33.4166107177734,2020-04-22 22:02:24
2228,"Manyamula",152,1889,1011358,-11.9378929138184,33.4522399902344,2020-04-22 22:02:24
2229,"Bolero",152,1889,1011357,-10.9845867156982,33.7405471801758,2020-04-22 22:02:24
2230,"Lirangwe",152,1890,1011384,-15.5294437408447,35.0299987792969,2020-04-22 22:02:24
2231,"Thekelani",152,1890,1011381,-16.3411674499512,35.0993614196777,2020-04-22 22:02:24
2232,"Thyolo",152,1890,1011377,-16.0675315856934,35.1455307006836,2020-04-22 22:02:24
2233,"Mulomba",152,1890,1011373,-15.5206203460693,35.5206184387207,2020-04-22 22:02:24
2234,"Mbela",152,1890,1011382,-14.8744144439697,35.0469360351562,2020-04-22 22:02:24
2235,"Phalula",152,1890,1011382,-15.210165977478,34.8940010070801,2020-04-22 22:02:24
2236,"Ulongwe",152,1890,1011382,-14.8628015518188,35.1770477294922,2020-04-22 22:02:24
2421,"Dzaleka",152,1888,1011364,-13.6587,33.8714,2020-04-22 22:02:24
3627,"Luncheza",152,1890,1011377,-16.018423,35.314266,2020-06-24 15:17:52
3628,"Makanjira",152,1890,1011371,-13.71722222,35.04861111,2020-06-24 15:18:23
3629,"Mtowe",152,1890,1011381,-17.08559,35.21529,2020-06-24 15:21:58
3630,"Ntakataka",152,1888,1011369,-14.215145,34.511196,2020-06-24 15:25:40
3735,"Vigwagwa",152,1889,1011360,-11.440421,34.010997,2020-07-17 12:54:11
